datetime,2W_volume
24-02-2020 08:35,185
24-02-2020 08:40,170
24-02-2020 08:45,159
24-02-2020 08:50,195
24-02-2020 08:55,207
24-02-2020 09:00,208
24-02-2020 09:05,243
24-02-2020 09:10,214
24-02-2020 09:15,226
24-02-2020 09:20,258
24-02-2020 09:25,254
24-02-2020 09:30,238
24-02-2020 09:35,244
24-02-2020 09:40,224
24-02-2020 09:45,240
24-02-2020 09:50,256
24-02-2020 09:55,280
24-02-2020 10:00,274
24-02-2020 10:05,230
24-02-2020 10:10,204
24-02-2020 10:15,206
24-02-2020 10:20,248
24-02-2020 10:25,238
24-02-2020 10:30,206
24-02-2020 10:35,218
24-02-2020 10:40,221
24-02-2020 10:45,196
24-02-2020 10:50,182
24-02-2020 10:55,190
24-02-2020 11:00,204
24-02-2020 16:35,138
24-02-2020 16:40,154
24-02-2020 16:45,140
24-02-2020 16:50,126
24-02-2020 16:55,146
24-02-2020 17:00,146
24-02-2020 17:05,147
24-02-2020 17:10,168
24-02-2020 17:15,133
24-02-2020 17:20,136
24-02-2020 17:25,161
24-02-2020 17:30,125
24-02-2020 17:35,154
24-02-2020 17:40,170
24-02-2020 17:45,152
24-02-2020 17:50,167
24-02-2020 17:55,147
24-02-2020 18:00,144
24-02-2020 18:05,171
24-02-2020 18:10,168
24-02-2020 18:15,156
24-02-2020 18:20,193
24-02-2020 18:25,185
24-02-2020 18:30,176
24-02-2020 18:35,188
24-02-2020 18:40,156
24-02-2020 18:45,154
24-02-2020 18:50,181
24-02-2020 18:55,191
24-02-2020 19:00,145
24-02-2020 08:35,83
24-02-2020 08:40,70
24-02-2020 08:45,100
24-02-2020 08:50,89
24-02-2020 08:55,94
24-02-2020 09:00,109
24-02-2020 09:05,106
24-02-2020 09:10,122
24-02-2020 09:15,121
24-02-2020 09:20,133
24-02-2020 09:25,143
24-02-2020 09:30,156
24-02-2020 09:35,142
24-02-2020 09:40,166
24-02-2020 09:45,153
24-02-2020 09:50,166
24-02-2020 09:55,210
24-02-2020 10:00,186
24-02-2020 10:05,194
24-02-2020 10:10,143
24-02-2020 10:15,189
24-02-2020 10:20,195
24-02-2020 10:25,178
24-02-2020 10:30,154
24-02-2020 10:35,184
24-02-2020 10:40,186
24-02-2020 10:45,165
24-02-2020 10:50,172
24-02-2020 10:55,175
24-02-2020 11:00,156
24-02-2020 16:35,156
24-02-2020 16:40,164
24-02-2020 16:45,201
24-02-2020 16:50,169
24-02-2020 16:55,156
24-02-2020 17:00,175
24-02-2020 17:05,180
24-02-2020 17:10,168
24-02-2020 17:15,223
24-02-2020 17:20,188
24-02-2020 17:25,182
24-02-2020 17:30,210
24-02-2020 17:35,222
24-02-2020 17:40,172
24-02-2020 17:45,203
24-02-2020 17:50,226
24-02-2020 17:55,199
24-02-2020 18:00,195
24-02-2020 18:05,206
24-02-2020 18:10,214
24-02-2020 18:15,229
24-02-2020 18:20,234
24-02-2020 18:25,246
24-02-2020 18:30,222
24-02-2020 18:35,242
24-02-2020 18:40,257
24-02-2020 18:45,239
24-02-2020 18:50,226
24-02-2020 18:55,221
24-02-2020 19:00,211
25-02-2020 08:35,140
25-02-2020 08:40,162
25-02-2020 08:45,169
25-02-2020 08:50,226
25-02-2020 08:55,181
25-02-2020 09:00,229
25-02-2020 09:05,214
25-02-2020 09:10,230
25-02-2020 09:15,246
25-02-2020 09:20,201
25-02-2020 09:25,221
25-02-2020 09:30,236
25-02-2020 09:35,255
25-02-2020 09:40,267
25-02-2020 09:45,263
25-02-2020 09:50,241
25-02-2020 09:55,235
25-02-2020 10:00,256
25-02-2020 10:05,209
25-02-2020 10:10,218
25-02-2020 10:15,231
25-02-2020 10:20,271
25-02-2020 10:25,207
25-02-2020 10:30,215
25-02-2020 10:35,217
25-02-2020 10:40,214
25-02-2020 10:45,209
25-02-2020 10:50,233
25-02-2020 10:55,217
25-02-2020 11:00,151
25-02-2020 16:35,130
25-02-2020 16:40,150
25-02-2020 16:45,131
25-02-2020 16:50,162
25-02-2020 16:55,153
25-02-2020 17:00,139
25-02-2020 17:05,128
25-02-2020 17:10,130
25-02-2020 17:15,169
25-02-2020 17:20,168
25-02-2020 17:25,182
25-02-2020 17:30,155
25-02-2020 17:35,156
25-02-2020 17:40,139
25-02-2020 17:45,151
25-02-2020 17:50,192
25-02-2020 17:55,143
25-02-2020 18:00,166
25-02-2020 18:05,154
25-02-2020 18:10,138
25-02-2020 18:15,174
25-02-2020 18:20,175
25-02-2020 18:25,181
25-02-2020 18:30,190
25-02-2020 18:35,169
25-02-2020 18:40,156
25-02-2020 18:45,167
25-02-2020 18:50,171
25-02-2020 18:55,188
25-02-2020 19:00,168
25-02-2020 08:35,74
25-02-2020 08:40,80
25-02-2020 08:45,88
25-02-2020 08:50,80
25-02-2020 08:55,90
25-02-2020 09:00,101
25-02-2020 09:05,99
25-02-2020 09:10,121
25-02-2020 09:15,114
25-02-2020 09:20,117
25-02-2020 09:25,139
25-02-2020 09:30,154
25-02-2020 09:35,148
25-02-2020 09:40,146
25-02-2020 09:45,160
25-02-2020 09:50,171
25-02-2020 09:55,198
25-02-2020 10:00,136
25-02-2020 10:05,171
25-02-2020 10:10,157
25-02-2020 10:15,187
25-02-2020 10:20,196
25-02-2020 10:25,174
25-02-2020 10:30,184
25-02-2020 10:35,167
25-02-2020 10:40,178
25-02-2020 10:45,162
25-02-2020 10:50,182
25-02-2020 10:55,162
25-02-2020 11:00,186
25-02-2020 16:35,166
25-02-2020 16:40,175
25-02-2020 16:45,128
25-02-2020 16:50,143
25-02-2020 16:55,150
25-02-2020 17:00,213
25-02-2020 17:05,133
25-02-2020 17:10,164
25-02-2020 17:15,222
25-02-2020 17:20,231
25-02-2020 17:25,199
25-02-2020 17:30,225
25-02-2020 17:35,201
25-02-2020 17:40,202
25-02-2020 17:45,186
25-02-2020 17:50,227
25-02-2020 17:55,236
25-02-2020 18:00,170
25-02-2020 18:05,176
25-02-2020 18:10,202
25-02-2020 18:15,233
25-02-2020 18:20,214
25-02-2020 18:25,223
25-02-2020 18:30,207
25-02-2020 18:35,225
25-02-2020 18:40,204
25-02-2020 18:45,220
25-02-2020 18:50,193
25-02-2020 18:55,184
25-02-2020 19:00,106
26-02-2020 08:35,145
26-02-2020 08:40,159
26-02-2020 08:45,162
26-02-2020 08:50,179
26-02-2020 08:55,196
26-02-2020 09:00,220
26-02-2020 09:05,210
26-02-2020 09:10,228
26-02-2020 09:15,216
26-02-2020 09:20,182
26-02-2020 09:25,252
26-02-2020 09:30,201
26-02-2020 09:35,252
26-02-2020 09:40,216
26-02-2020 09:45,245
26-02-2020 09:50,272
26-02-2020 09:55,280
26-02-2020 10:00,230
26-02-2020 10:05,203
26-02-2020 10:10,249
26-02-2020 10:15,246
26-02-2020 10:20,229
26-02-2020 10:25,242
26-02-2020 10:30,189
26-02-2020 10:35,228
26-02-2020 10:40,209
26-02-2020 10:45,211
26-02-2020 10:50,221
26-02-2020 10:55,207
26-02-2020 11:00,202
26-02-2020 16:35,160
26-02-2020 16:40,169
26-02-2020 16:45,153
26-02-2020 16:50,148
26-02-2020 16:55,169
26-02-2020 17:00,140
26-02-2020 17:05,151
26-02-2020 17:10,156
26-02-2020 17:15,158
26-02-2020 17:20,136
26-02-2020 17:25,155
26-02-2020 17:30,146
26-02-2020 17:35,112
26-02-2020 17:40,150
26-02-2020 17:45,148
26-02-2020 17:50,143
26-02-2020 17:55,162
26-02-2020 18:00,174
26-02-2020 18:05,150
26-02-2020 18:10,163
26-02-2020 18:15,207
26-02-2020 18:20,192
26-02-2020 18:25,167
26-02-2020 18:30,180
26-02-2020 18:35,169
26-02-2020 18:40,189
26-02-2020 18:45,180
26-02-2020 18:50,165
26-02-2020 18:55,149
26-02-2020 19:00,134
26-02-2020 08:35,84
26-02-2020 08:40,78
26-02-2020 08:45,99
26-02-2020 08:50,8
26-02-2020 08:55,107
26-02-2020 09:00,118
26-02-2020 09:05,110
26-02-2020 09:10,120
26-02-2020 09:15,109
26-02-2020 09:20,133
26-02-2020 09:25,160
26-02-2020 09:30,138
26-02-2020 09:35,172
26-02-2020 09:40,181
26-02-2020 09:45,188
26-02-2020 09:50,168
26-02-2020 09:55,192
26-02-2020 10:00,174
26-02-2020 10:05,166
26-02-2020 10:10,215
