datetime,Bus_volume
24-02-2020 08:35,16
24-02-2020 08:40,13
24-02-2020 08:45,20
24-02-2020 08:50,19
24-02-2020 08:55,14
24-02-2020 09:00,16
24-02-2020 09:05,22
24-02-2020 09:10,14
24-02-2020 09:15,15
24-02-2020 09:20,18
24-02-2020 09:25,21
24-02-2020 09:30,13
24-02-2020 09:35,14
24-02-2020 09:40,9
24-02-2020 09:45,19
24-02-2020 09:50,20
24-02-2020 09:55,19
24-02-2020 10:00,17
24-02-2020 10:05,23
24-02-2020 10:10,18
24-02-2020 10:15,18
24-02-2020 10:20,12
24-02-2020 10:25,22
24-02-2020 10:30,13
24-02-2020 10:35,16
24-02-2020 10:40,21
24-02-2020 10:45,17
24-02-2020 10:50,19
24-02-2020 10:55,30
24-02-2020 11:00,22
24-02-2020 16:35,21
24-02-2020 16:40,17
24-02-2020 16:45,18
24-02-2020 16:50,26
24-02-2020 16:55,12
24-02-2020 17:00,22
24-02-2020 17:05,18
24-02-2020 17:10,23
24-02-2020 17:15,16
24-02-2020 17:20,15
24-02-2020 17:25,13
24-02-2020 17:30,17
24-02-2020 17:35,17
24-02-2020 17:40,20
24-02-2020 17:45,13
24-02-2020 17:50,23
24-02-2020 17:55,10
24-02-2020 18:00,23
24-02-2020 18:05,21
24-02-2020 18:10,17
24-02-2020 18:15,19
24-02-2020 18:20,26
24-02-2020 18:25,22
24-02-2020 18:30,21
24-02-2020 18:35,5
24-02-2020 18:40,12
24-02-2020 18:45,11
24-02-2020 18:50,9
24-02-2020 18:55,16
24-02-2020 19:00,13
24-02-2020 08:35,21
24-02-2020 08:40,22
24-02-2020 08:45,20
24-02-2020 08:50,23
24-02-2020 08:55,11
24-02-2020 09:00,13
24-02-2020 09:05,14
24-02-2020 09:10,19
24-02-2020 09:15,20
24-02-2020 09:20,22
24-02-2020 09:25,11
24-02-2020 09:30,11
24-02-2020 09:35,16
24-02-2020 09:40,20
24-02-2020 09:45,19
24-02-2020 09:50,16
24-02-2020 09:55,14
24-02-2020 10:00,18
24-02-2020 10:05,17
24-02-2020 10:10,8
24-02-2020 10:15,26
24-02-2020 10:20,14
24-02-2020 10:25,16
24-02-2020 10:30,20
24-02-2020 10:35,18
24-02-2020 10:40,19
24-02-2020 10:45,16
24-02-2020 10:50,11
24-02-2020 10:55,13
24-02-2020 11:00,16
24-02-2020 16:35,10
24-02-2020 16:40,11
24-02-2020 16:45,14
24-02-2020 16:50,15
24-02-2020 16:55,23
24-02-2020 17:00,23
24-02-2020 17:05,18
24-02-2020 17:10,17
24-02-2020 17:15,21
24-02-2020 17:20,20
24-02-2020 17:25,10
24-02-2020 17:30,16
24-02-2020 17:35,16
