datetime,PCUFlow
2/24/2020 8:35,541.70
2/24/2020 8:40,515.55
2/24/2020 8:45,538.55
2/24/2020 8:50,604.06
2/24/2020 8:55,528.98
2/24/2020 9:05,605.16
2/24/2020 9:10,588.52
2/24/2020 9:15,583.67
2/24/2020 9:20,550.72
2/24/2020 9:25,601.89
2/24/2020 9:35,598.46
2/24/2020 9:40,528.47
2/24/2020 9:45,551.39
2/24/2020 9:50,595.55
2/24/2020 9:55,564.91
2/24/2020 10:05,652.01
2/24/2020 10:10,601.85
2/24/2020 10:15,515.74
2/24/2020 10:20,628.93
2/24/2020 10:25,637.96
2/24/2020 10:35,518.04
2/24/2020 10:40,647.49
2/24/2020 10:45,549.43
2/24/2020 10:50,537.59
2/24/2020 10:55,688.98
2/24/2020 16:35,555.78
2/24/2020 16:40,534.08
2/24/2020 16:45,532.91
2/24/2020 16:50,531.23
2/24/2020 16:55,613.05
2/24/2020 17:05,520.91
2/24/2020 17:10,559.65
2/24/2020 17:15,513.64
2/24/2020 17:20,545.89
2/24/2020 17:25,565.87
2/24/2020 17:35,526.48
2/24/2020 17:40,538.86
2/24/2020 17:45,442.15
2/24/2020 17:50,600.59
2/24/2020 17:55,507.18
2/24/2020 18:05,627.39
2/24/2020 18:10,496.62
2/24/2020 18:15,593.44
2/24/2020 18:20,550.61
2/24/2020 18:25,573.12
2/24/2020 18:35,483.84
2/24/2020 18:40,499.08
2/24/2020 18:45,458.96
2/24/2020 18:50,426.17
2/24/2020 18:55,485.90
2/24/2020 8:35,519.77
2/24/2020 8:40,481.92
2/24/2020 8:45,535.01
2/24/2020 8:50,583.03
2/24/2020 8:55,457.16
2/24/2020 9:05,417.15
2/24/2020 9:10,577.41
2/24/2020 9:15,508.51
2/24/2020 9:20,575.45
2/24/2020 9:25,545.79
2/24/2020 9:35,558.25
2/24/2020 9:40,604.27
2/24/2020 9:45,479.07
2/24/2020 9:50,556.88
2/24/2020 9:55,570.99
2/24/2020 10:05,522.90
2/24/2020 10:10,431.39
2/24/2020 10:15,529.00
2/24/2020 10:20,568.44
2/24/2020 10:25,523.48
2/24/2020 10:35,488.51
2/24/2020 10:40,641.03
2/24/2020 10:45,544.92
2/24/2020 10:50,591.75
2/24/2020 10:55,555.29
2/24/2020 16:35,461.54
2/24/2020 16:40,502.51
2/24/2020 16:45,524.27
2/24/2020 16:50,483.23
2/24/2020 16:55,586.99
2/24/2020 17:05,582.83
2/24/2020 17:10,616.49
2/24/2020 17:15,709.06
2/24/2020 17:20,541.54
2/24/2020 17:25,538.46
2/24/2020 17:35,556.32
2/24/2020 17:40,587.91
2/24/2020 17:45,565.89
2/24/2020 17:50,620.15
2/24/2020 17:55,490.50
2/24/2020 18:05,608.13
2/24/2020 18:10,588.03
2/24/2020 18:15,703.05
2/24/2020 18:20,674.13
2/24/2020 18:25,659.91
2/24/2020 18:35,560.77
2/24/2020 18:40,543.09
2/24/2020 18:45,479.44
2/24/2020 18:50,488.34
2/24/2020 18:55,492.64
2/25/2020 8:35,508.21
2/25/2020 8:40,572.38
2/25/2020 8:45,543.37
2/25/2020 8:50,632.23
2/25/2020 8:55,483.58
2/25/2020 9:05,545.02
2/25/2020 9:10,566.97
2/25/2020 9:15,586.86
2/25/2020 9:20,569.61
2/25/2020 9:25,606.91
2/25/2020 9:35,597.82
2/25/2020 9:40,591.46
2/25/2020 9:45,573.16
2/25/2020 9:50,509.48
2/25/2020 9:55,625.01
2/25/2020 10:05,559.23
2/25/2020 10:10,626.64
2/25/2020 10:15,611.41
2/25/2020 10:20,543.09
2/25/2020 10:25,567.28
2/25/2020 10:35,591.56
2/25/2020 10:40,502.26
2/25/2020 10:45,619.57
2/25/2020 10:50,549.95
2/25/2020 10:55,620.41
2/25/2020 16:35,577.27
2/25/2020 16:40,712.68
2/25/2020 16:45,699.44
2/25/2020 16:50,652.55
2/25/2020 16:55,589.21
2/25/2020 17:05,578.07
2/25/2020 17:10,581.75
2/25/2020 17:15,652.50
2/25/2020 17:20,561.12
