datetime,Speed
2/24/2020 8:35,23.13
2/24/2020 8:40,24.10
2/24/2020 8:45,23.79
2/24/2020 8:50,19.10
2/24/2020 8:55,26.39
2/24/2020 9:05,21.99
2/24/2020 9:10,24.79
2/24/2020 9:15,23.59
2/24/2020 9:20,23.80
2/24/2020 9:25,22.41
2/24/2020 9:35,23.17
2/24/2020 9:40,21.01
2/24/2020 9:45,22.30
2/24/2020 9:50,24.05
2/24/2020 9:55,23.72
2/24/2020 10:05,23.89
2/24/2020 10:10,23.48
2/24/2020 10:15,23.32
2/24/2020 10:20,20.01
2/24/2020 10:25,21.92
2/24/2020 10:35,23.82
2/24/2020 10:40,18.73
2/24/2020 10:45,19.42
2/24/2020 10:50,22.75
2/24/2020 10:55,18.47
2/24/2020 16:35,18.60
2/24/2020 16:40,19.32
2/24/2020 16:45,21.05
2/24/2020 16:50,19.89
2/24/2020 16:55,21.77
2/24/2020 17:05,22.65
2/24/2020 17:10,22.46
2/24/2020 17:15,22.76
2/24/2020 17:20,19.24
2/24/2020 17:25,20.33
2/24/2020 17:35,21.53
2/24/2020 17:40,21.19
2/24/2020 17:45,21.85
2/24/2020 17:50,25.38
2/24/2020 17:55,22.88
2/24/2020 18:05,21.51
2/24/2020 18:10,24.76
2/24/2020 18:15,24.33
2/24/2020 18:20,21.82
2/24/2020 18:25,21.41
2/24/2020 18:35,22.88
2/24/2020 18:40,23.83
2/24/2020 18:45,23.41
2/24/2020 18:50,24.91
2/24/2020 18:55,22.86
2/24/2020 8:35,28.45
2/24/2020 8:40,25.37
2/24/2020 8:45,25.12
2/24/2020 8:50,29.08
2/24/2020 8:55,30.20
2/24/2020 9:05,28.96
2/24/2020 9:10,25.14
2/24/2020 9:15,25.84
2/24/2020 9:20,24.78
2/24/2020 9:25,26.35
2/24/2020 9:35,25.99
2/24/2020 9:40,29.86
2/24/2020 9:45,25.76
2/24/2020 9:50,24.00
2/24/2020 9:55,22.93
2/24/2020 10:05,22.65
2/24/2020 10:10,28.30
2/24/2020 10:15,22.68
2/24/2020 10:20,25.54
2/24/2020 10:25,29.27
2/24/2020 10:35,28.40
2/24/2020 10:40,22.39
2/24/2020 10:45,25.51
2/24/2020 10:50,20.29
2/24/2020 10:55,23.64
2/24/2020 16:35,29.76
2/24/2020 16:40,24.26
2/24/2020 16:45,23.68
2/24/2020 16:50,25.28
2/24/2020 16:55,23.42
2/24/2020 17:05,22.86
2/24/2020 17:10,22.90
2/24/2020 17:15,22.94
2/24/2020 17:20,24.69
2/24/2020 17:25,22.28
2/24/2020 17:35,19.42
2/24/2020 17:40,21.10
2/24/2020 17:45,20.43
2/24/2020 17:50,21.01
2/24/2020 17:55,21.79
2/24/2020 18:05,22.34
2/24/2020 18:10,22.07
2/24/2020 18:15,18.27
2/24/2020 18:20,19.78
2/24/2020 18:25,19.64
2/24/2020 18:35,20.11
2/24/2020 18:40,20.46
2/24/2020 18:45,21.02
2/24/2020 18:50,21.36
2/24/2020 18:55,21.13
2/25/2020 8:35,25.35
2/25/2020 8:40,25.04
2/25/2020 8:45,25.39
2/25/2020 8:50,23.71
2/25/2020 8:55,26.75
2/25/2020 9:05,25.29
2/25/2020 9:10,23.32
2/25/2020 9:15,23.48
2/25/2020 9:20,24.63
2/25/2020 9:25,24.14
2/25/2020 9:35,18.79
2/25/2020 9:40,19.97
2/25/2020 9:45,24.89
2/25/2020 9:50,26.40
2/25/2020 9:55,21.83
2/25/2020 10:05,23.56
2/25/2020 10:10,24.25
2/25/2020 10:15,20.34
2/25/2020 10:20,23.48
2/25/2020 10:25,23.87
2/25/2020 10:35,21.46
2/25/2020 10:40,23.59
2/25/2020 10:45,22.51
2/25/2020 10:50,23.28
2/25/2020 10:55,23.68
2/25/2020 16:35,20.58
2/25/2020 16:40,17.67
2/25/2020 16:45,13.96
2/25/2020 16:50,19.89
2/25/2020 16:55,20.06
2/25/2020 17:05,21.60
2/25/2020 17:10,20.50
