datetime,LCV_volume
24-02-2020 08:35,4
24-02-2020 08:40,4
24-02-2020 08:45,5
24-02-2020 08:50,3
24-02-2020 08:55,3
24-02-2020 09:00,5
24-02-2020 09:05,9
24-02-2020 09:10,1
24-02-2020 09:15,1
24-02-2020 09:20,4
24-02-2020 09:25,2
24-02-2020 09:30,6
24-02-2020 09:35,5
24-02-2020 09:40,1
24-02-2020 09:45,5
24-02-2020 09:50,5
24-02-2020 09:55,5
24-02-2020 10:00,4
24-02-2020 10:05,2
24-02-2020 10:10,2
24-02-2020 10:15,4
24-02-2020 10:20,3
24-02-2020 10:25,6
24-02-2020 10:30,5
24-02-2020 10:35,2
24-02-2020 10:40,4
24-02-2020 10:45,4
24-02-2020 10:50,1
24-02-2020 10:55,4
24-02-2020 11:00,8
24-02-2020 16:35,11
24-02-2020 16:40,10
24-02-2020 16:45,12
24-02-2020 16:50,9
24-02-2020 16:55,18
24-02-2020 17:00,8
24-02-2020 17:05,13
24-02-2020 17:10,12
24-02-2020 17:15,12
24-02-2020 17:20,9
24-02-2020 17:25,7
24-02-2020 17:30,7
24-02-2020 17:35,6
24-02-2020 17:40,4
24-02-2020 17:45,5
24-02-2020 17:50,7
24-02-2020 17:55,4
24-02-2020 18:00,8
24-02-2020 18:05,6
24-02-2020 18:10,1
24-02-2020 18:15,4
24-02-2020 18:20,6
24-02-2020 18:25,2
24-02-2020 18:30,5
24-02-2020 18:35,3
24-02-2020 18:40,9
24-02-2020 18:45,3
24-02-2020 18:50,13
24-02-2020 18:55,3
24-02-2020 19:00,0
24-02-2020 08:35,7
24-02-2020 08:40,3
24-02-2020 08:45,6
24-02-2020 08:50,5
24-02-2020 08:55,6
24-02-2020 09:00,3
24-02-2020 09:05,8
24-02-2020 09:10,6
24-02-2020 09:15,3
24-02-2020 09:20,3
24-02-2020 09:25,3
24-02-2020 09:30,2
24-02-2020 09:35,2
24-02-2020 09:40,8
24-02-2020 09:45,4
24-02-2020 09:50,3
24-02-2020 09:55,1
24-02-2020 10:00,4
24-02-2020 10:05,4
24-02-2020 10:10,3
24-02-2020 10:15,0
24-02-2020 10:20,3
24-02-2020 10:25,2
24-02-2020 10:30,3
24-02-2020 10:35,1
24-02-2020 10:40,2
24-02-2020 10:45,5
24-02-2020 10:50,5
24-02-2020 10:55,7
24-02-2020 11:00,4
24-02-2020 16:35,21
24-02-2020 16:40,20
24-02-2020 16:45,22
24-02-2020 16:50,22
24-02-2020 16:55,23
24-02-2020 17:00,23
24-02-2020 17:05,17
24-02-2020 17:10,13
24-02-2020 17:15,17
24-02-2020 17:20,11
24-02-2020 17:25,21
24-02-2020 17:30,11
24-02-2020 17:35,2
24-02-2020 17:40,9
24-02-2020 17:45,7
24-02-2020 17:50,4
24-02-2020 17:55,8
24-02-2020 18:00,7
24-02-2020 18:05,7
24-02-2020 18:10,3
24-02-2020 18:15,7
24-02-2020 18:20,4
24-02-2020 18:25,5
24-02-2020 18:30,6
24-02-2020 18:35,5
24-02-2020 18:40,7
24-02-2020 18:45,3
24-02-2020 18:50,8
24-02-2020 18:55,3
24-02-2020 19:00,4
25-02-2020 08:35,2
25-02-2020 08:40,9
25-02-2020 08:45,6
25-02-2020 08:50,5
25-02-2020 08:55,2
25-02-2020 09:00,6
25-02-2020 09:05,4
25-02-2020 09:10,2
25-02-2020 09:15,8
25-02-2020 09:20,3
25-02-2020 09:25,2
25-02-2020 09:30,5
25-02-2020 09:35,3
25-02-2020 09:40,3
25-02-2020 09:45,4
25-02-2020 09:50,5
25-02-2020 09:55,2
25-02-2020 10:00,3
25-02-2020 10:05,1
25-02-2020 10:10,5
25-02-2020 10:15,2
25-02-2020 10:20,5
25-02-2020 10:25,5
25-02-2020 10:30,4
25-02-2020 10:35,7
25-02-2020 10:40,6
25-02-2020 10:45,5
25-02-2020 10:50,3
25-02-2020 10:55,2
25-02-2020 11:00,12
25-02-2020 16:35,18
25-02-2020 16:40,17
25-02-2020 16:45,24
25-02-2020 16:50,28
25-02-2020 16:55,16
25-02-2020 17:00,7
25-02-2020 17:05,15
25-02-2020 17:10,7
25-02-2020 17:15,15
25-02-2020 17:20,10
25-02-2020 17:25,10
25-02-2020 17:30,10
25-02-2020 17:35,8
25-02-2020 17:40,6
25-02-2020 17:45,6
25-02-2020 17:50,12
25-02-2020 17:55,2
25-02-2020 18:00,7
25-02-2020 18:05,5
25-02-2020 18:10,5
25-02-2020 18:15,4
25-02-2020 18:20,4
25-02-2020 18:25,15
25-02-2020 18:30,3
25-02-2020 18:35,4
25-02-2020 18:40,3
25-02-2020 18:45,6
25-02-2020 18:50,6
25-02-2020 18:55,5
25-02-2020 19:00,3
25-02-2020 08:35,6
25-02-2020 08:40,6
25-02-2020 08:45,5
25-02-2020 08:50,8
25-02-2020 08:55,5
25-02-2020 09:00,3
25-02-2020 09:05,6
25-02-2020 09:10,3
25-02-2020 09:15,3
25-02-2020 09:20,3
25-02-2020 09:25,5
25-02-2020 09:30,5
25-02-2020 09:35,4
25-02-2020 09:40,5
25-02-2020 09:45,5
25-02-2020 09:50,3
25-02-2020 09:55,7
25-02-2020 10:00,5
25-02-2020 10:05,6
25-02-2020 10:10,4
25-02-2020 10:15,4
25-02-2020 10:20,4
25-02-2020 10:25,6
25-02-2020 10:30,8
25-02-2020 10:35,5
25-02-2020 10:40,2
25-02-2020 10:45,2
25-02-2020 10:50,3
25-02-2020 10:55,3
25-02-2020 11:00,3
25-02-2020 16:35,9
25-02-2020 16:40,10
25-02-2020 16:45,26
25-02-2020 16:50,12
25-02-2020 16:55,4
25-02-2020 17:00,17
25-02-2020 17:05,5
25-02-2020 17:10,12
25-02-2020 17:15,9
25-02-2020 17:20,8
25-02-2020 17:25,12
25-02-2020 17:30,8
25-02-2020 17:35,8
25-02-2020 17:40,11
25-02-2020 17:45,9
25-02-2020 17:50,10
25-02-2020 17:55,8
25-02-2020 18:00,9
25-02-2020 18:05,7
25-02-2020 18:10,11
25-02-2020 18:15,16
25-02-2020 18:20,15
25-02-2020 18:25,14
25-02-2020 18:30,8
25-02-2020 18:35,8
25-02-2020 18:40,12
25-02-2020 18:45,10
25-02-2020 18:50,3
25-02-2020 18:55,3
25-02-2020 19:00,1
26-02-2020 08:35,2
26-02-2020 08:40,3
26-02-2020 08:45,8
26-02-2020 08:50,4
26-02-2020 08:55,6
26-02-2020 09:00,3
26-02-2020 09:05,4
26-02-2020 09:10,4
26-02-2020 09:15,6
26-02-2020 09:20,4
26-02-2020 09:25,2
26-02-2020 09:30,6
26-02-2020 09:35,7
26-02-2020 09:40,5
26-02-2020 09:45,4
26-02-2020 09:50,4
26-02-2020 09:55,6
26-02-2020 10:00,5
26-02-2020 10:05,7
26-02-2020 10:10,3
26-02-2020 10:15,4
26-02-2020 10:20,4
26-02-2020 10:25,6
26-02-2020 10:30,3
26-02-2020 10:35,7
26-02-2020 10:40,8
26-02-2020 10:45,1
26-02-2020 10:50,6
26-02-2020 10:55,7
26-02-2020 11:00,6
26-02-2020 16:35,19
26-02-2020 16:40,12
26-02-2020 16:45,9
26-02-2020 16:50,25
26-02-2020 16:55,18
26-02-2020 17:00,11
26-02-2020 17:05,11
26-02-2020 17:10,10
26-02-2020 17:15,8
26-02-2020 17:20,5
26-02-2020 17:25,4
26-02-2020 17:30,6
26-02-2020 17:35,8
26-02-2020 17:40,8
26-02-2020 17:45,5
26-02-2020 17:50,9
26-02-2020 17:55,2
26-02-2020 18:00,5
26-02-2020 18:05,8
26-02-2020 18:10,4
26-02-2020 18:15,2
26-02-2020 18:20,6
26-02-2020 18:25,6
26-02-2020 18:30,3
26-02-2020 18:35,5
26-02-2020 18:40,2
26-02-2020 18:45,9
26-02-2020 18:50,7
26-02-2020 18:55,8
26-02-2020 19:00,4
26-02-2020 08:35,6
26-02-2020 08:40,4
26-02-2020 08:45,3
26-02-2020 08:50,4
26-02-2020 08:55,4
26-02-2020 09:00,4
26-02-2020 09:05,4
26-02-2020 09:10,4
26-02-2020 09:15,3
26-02-2020 09:20,6
26-02-2020 09:25,5
26-02-2020 09:30,4
26-02-2020 09:35,2
26-02-2020 09:40,3
26-02-2020 09:45,0
26-02-2020 09:50,3
26-02-2020 09:55,2
26-02-2020 10:00,5
