datetime,Truck_volume
24-02-2020 08:35,1
24-02-2020 08:40,2
24-02-2020 08:45,1
24-02-2020 08:50,1
24-02-2020 08:55,2
24-02-2020 09:00,1
24-02-2020 09:05,1
24-02-2020 09:10,0
24-02-2020 09:15,3
24-02-2020 09:20,0
24-02-2020 09:25,2
24-02-2020 09:30,4
24-02-2020 09:35,6
24-02-2020 09:40,2
24-02-2020 09:45,2
24-02-2020 09:50,1
24-02-2020 09:55,0
24-02-2020 10:00,1
24-02-2020 10:05,1
24-02-2020 10:10,1
24-02-2020 10:15,3
24-02-2020 10:20,1
24-02-2020 10:25,2
24-02-2020 10:30,1
24-02-2020 10:35,2
24-02-2020 10:40,1
24-02-2020 10:45,3
24-02-2020 10:50,2
24-02-2020 10:55,4
24-02-2020 11:00,1
24-02-2020 16:35,6
24-02-2020 16:40,2
24-02-2020 16:45,2
24-02-2020 16:50,1
24-02-2020 16:55,9
24-02-2020 17:00,1
24-02-2020 17:05,0
24-02-2020 17:10,2
24-02-2020 17:15,3
24-02-2020 17:20,2
24-02-2020 17:25,4
24-02-2020 17:30,3
24-02-2020 17:35,6
24-02-2020 17:40,2
24-02-2020 17:45,5
24-02-2020 17:50,4
24-02-2020 17:55,7
24-02-2020 18:00,1
24-02-2020 18:05,5
24-02-2020 18:10,1
24-02-2020 18:15,3
24-02-2020 18:20,2
24-02-2020 18:25,3
24-02-2020 18:30,2
24-02-2020 18:35,0
24-02-2020 18:40,2
24-02-2020 18:45,3
24-02-2020 18:50,3
24-02-2020 18:55,2
24-02-2020 19:00,1
24-02-2020 08:35,2
24-02-2020 08:40,1
24-02-2020 08:45,1
24-02-2020 08:50,1
24-02-2020 08:55,1
24-02-2020 09:00,3
24-02-2020 09:05,2
24-02-2020 09:10,2
24-02-2020 09:15,1
24-02-2020 09:20,3
24-02-2020 09:25,2
24-02-2020 09:30,2
24-02-2020 09:35,4
24-02-2020 09:40,4
24-02-2020 09:45,1
24-02-2020 09:50,2
24-02-2020 09:55,4
24-02-2020 10:00,1
24-02-2020 10:05,3
24-02-2020 10:10,0
24-02-2020 10:15,1
24-02-2020 10:20,1
24-02-2020 10:25,4
24-02-2020 10:30,1
24-02-2020 10:35,3
24-02-2020 10:40,3
24-02-2020 10:45,3
24-02-2020 10:50,7
24-02-2020 10:55,6
24-02-2020 11:00,6
24-02-2020 16:35,1
24-02-2020 16:40,3
24-02-2020 16:45,4
24-02-2020 16:50,2
24-02-2020 16:55,2
24-02-2020 17:00,5
24-02-2020 17:05,2
24-02-2020 17:10,5
24-02-2020 17:15,4
24-02-2020 17:20,4
24-02-2020 17:25,5
24-02-2020 17:30,4
24-02-2020 17:35,6
24-02-2020 17:40,2
24-02-2020 17:45,5
24-02-2020 17:50,6
24-02-2020 17:55,2
24-02-2020 18:00,4
24-02-2020 18:05,4
24-02-2020 18:10,0
24-02-2020 18:15,4
24-02-2020 18:20,7
24-02-2020 18:25,7
24-02-2020 18:30,6
24-02-2020 18:35,7
24-02-2020 18:40,7
24-02-2020 18:45,4
24-02-2020 18:50,4
24-02-2020 18:55,3
24-02-2020 19:00,1
25-02-2020 08:35,1
25-02-2020 08:40,2
25-02-2020 08:45,3
25-02-2020 08:50,2
25-02-2020 08:55,1
25-02-2020 09:00,5
25-02-2020 09:05,4
25-02-2020 09:10,1
25-02-2020 09:15,4
25-02-2020 09:20,4
25-02-2020 09:25,3
25-02-2020 09:30,4
25-02-2020 09:35,3
25-02-2020 09:40,2
25-02-2020 09:45,2
25-02-2020 09:50,2
25-02-2020 09:55,2
25-02-2020 10:00,2
25-02-2020 10:05,5
25-02-2020 10:10,1
25-02-2020 10:15,5
25-02-2020 10:20,4
25-02-2020 10:25,1
25-02-2020 10:30,3
25-02-2020 10:35,3
25-02-2020 10:40,1
25-02-2020 10:45,5
25-02-2020 10:50,3
25-02-2020 10:55,3
25-02-2020 11:00,4
25-02-2020 16:35,4
25-02-2020 16:40,8
25-02-2020 16:45,5
25-02-2020 16:50,6
25-02-2020 16:55,10
25-02-2020 17:00,5
25-02-2020 17:05,5
25-02-2020 17:10,5
25-02-2020 17:15,4
25-02-2020 17:20,3
25-02-2020 17:25,5
25-02-2020 17:30,5
25-02-2020 17:35,5
25-02-2020 17:40,4
25-02-2020 17:45,1
25-02-2020 17:50,3
25-02-2020 17:55,3
25-02-2020 18:00,1
25-02-2020 18:05,3
25-02-2020 18:10,1
25-02-2020 18:15,3
25-02-2020 18:20,1
25-02-2020 18:25,3
25-02-2020 18:30,1
25-02-2020 18:35,1
25-02-2020 18:40,5
25-02-2020 18:45,6
25-02-2020 18:50,3
25-02-2020 18:55,2
25-02-2020 19:00,3
25-02-2020 08:35,1
25-02-2020 08:40,4
25-02-2020 08:45,2
25-02-2020 08:50,3
25-02-2020 08:55,3
25-02-2020 09:00,2
25-02-2020 09:05,2
25-02-2020 09:10,2
25-02-2020 09:15,4
25-02-2020 09:20,4
25-02-2020 09:25,3
25-02-2020 09:30,2
25-02-2020 09:35,2
25-02-2020 09:40,6
25-02-2020 09:45,3
25-02-2020 09:50,5
25-02-2020 09:55,3
25-02-2020 10:00,5
25-02-2020 10:05,2
25-02-2020 10:10,2
25-02-2020 10:15,4
25-02-2020 10:20,2
25-02-2020 10:25,3
25-02-2020 10:30,3
25-02-2020 10:35,4
25-02-2020 10:40,2
25-02-2020 10:45,3
25-02-2020 10:50,2
25-02-2020 10:55,3
25-02-2020 11:00,3
25-02-2020 16:35,12
25-02-2020 16:40,2
25-02-2020 16:45,8
25-02-2020 16:50,12
25-02-2020 16:55,2
25-02-2020 17:00,8
25-02-2020 17:05,4
25-02-2020 17:10,4
25-02-2020 17:15,1
25-02-2020 17:20,2
25-02-2020 17:25,1
25-02-2020 17:30,3
25-02-2020 17:35,3
25-02-2020 17:40,1
25-02-2020 17:45,3
25-02-2020 17:50,4
25-02-2020 17:55,1
25-02-2020 18:00,3
25-02-2020 18:05,3
25-02-2020 18:10,3
25-02-2020 18:15,1
25-02-2020 18:20,4
25-02-2020 18:25,4
25-02-2020 18:30,4
25-02-2020 18:35,2
25-02-2020 18:40,2
25-02-2020 18:45,1
25-02-2020 18:50,1
25-02-2020 18:55,2
25-02-2020 19:00,0
26-02-2020 08:35,2
26-02-2020 08:40,1
26-02-2020 08:45,2
26-02-2020 08:50,1
26-02-2020 08:55,1
26-02-2020 09:00,3
26-02-2020 09:05,0
26-02-2020 09:10,1
26-02-2020 09:15,3
26-02-2020 09:20,0
26-02-2020 09:25,4
26-02-2020 09:30,2
26-02-2020 09:35,4
26-02-2020 09:40,5
26-02-2020 09:45,2
26-02-2020 09:50,1
26-02-2020 09:55,2
26-02-2020 10:00,0
26-02-2020 10:05,3
26-02-2020 10:10,3
26-02-2020 10:15,4
26-02-2020 10:20,4
26-02-2020 10:25,3
26-02-2020 10:30,1
26-02-2020 10:35,2
26-02-2020 10:40,3
26-02-2020 10:45,5
26-02-2020 10:50,1
26-02-2020 10:55,2
26-02-2020 11:00,6
26-02-2020 16:35,4
26-02-2020 16:40,3
26-02-2020 16:45,5
26-02-2020 16:50,3
26-02-2020 16:55,6
26-02-2020 17:00,2
26-02-2020 17:05,4
26-02-2020 17:10,5
26-02-2020 17:15,6
26-02-2020 17:20,5
26-02-2020 17:25,1
26-02-2020 17:30,5
26-02-2020 17:35,2
26-02-2020 17:40,4
26-02-2020 17:45,2
26-02-2020 17:50,4
26-02-2020 17:55,4
26-02-2020 18:00,2
26-02-2020 18:05,7
26-02-2020 18:10,3
26-02-2020 18:15,4
26-02-2020 18:20,3
26-02-2020 18:25,3
26-02-2020 18:30,2
26-02-2020 18:35,1
26-02-2020 18:40,0
26-02-2020 18:45,1
26-02-2020 18:50,3
26-02-2020 18:55,3
26-02-2020 19:00,2
26-02-2020 08:35,1
26-02-2020 08:40,0
26-02-2020 08:45,5
26-02-2020 08:50,5
26-02-2020 08:55,1
26-02-2020 09:00,1
26-02-2020 09:05,2
26-02-2020 09:10,2
26-02-2020 09:15,1
26-02-2020 09:20,2
26-02-2020 09:25,3
26-02-2020 09:30,2
26-02-2020 09:35,1
26-02-2020 09:40,2
26-02-2020 09:45,3
26-02-2020 09:50,1
26-02-2020 09:55,3
26-02-2020 10:00,4
26-02-2020 10:05,2
26-02-2020 10:10,1
26-02-2020 10:15,1
26-02-2020 10:20,4
26-02-2020 10:25,0
26-02-2020 10:30,1
26-02-2020 10:35,0
26-02-2020 10:40,4
26-02-2020 10:45,1
26-02-2020 10:50,5
26-02-2020 10:55,5
26-02-2020 11:00,4
