datetime,Car_speed
24-02-2020 08:35,27.63
24-02-2020 08:40,28.42
24-02-2020 08:45,30.19
24-02-2020 08:50,20.98
24-02-2020 08:55,31.4
24-02-2020 09:00,30.57
24-02-2020 09:05,22.73
24-02-2020 09:10,33.58
24-02-2020 09:15,27.89
24-02-2020 09:20,27.55
24-02-2020 09:25,26.79
24-02-2020 09:30,20.42
24-02-2020 09:35,27.02
24-02-2020 09:40,26.16
24-02-2020 09:45,24.73
24-02-2020 09:50,27.66
24-02-2020 09:55,25.57
24-02-2020 10:00,28.97
24-02-2020 10:05,32.3
24-02-2020 10:10,30.96
24-02-2020 10:15,25.19
24-02-2020 10:20,21.84
24-02-2020 10:25,26.79
24-02-2020 10:30,30
24-02-2020 10:35,26.89
24-02-2020 10:40,25.96
24-02-2020 10:45,23.04
24-02-2020 10:50,25.86
24-02-2020 10:55,22.06
24-02-2020 11:00,24.73
24-02-2020 16:35,18.908
24-02-2020 16:40,22.67
24-02-2020 16:45,23.852
24-02-2020 16:50,22.727
24-02-2020 16:55,27.108
24-02-2020 17:00,24.725
24-02-2020 17:05,27.551
24-02-2020 17:10,27.439
24-02-2020 17:15,26.163
24-02-2020 17:20,23.684
24-02-2020 17:25,25.665
24-02-2020 17:30,28.008
24-02-2020 17:35,25.472
24-02-2020 17:40,21.635
24-02-2020 17:45,22.351
24-02-2020 17:50,30.682
24-02-2020 17:55,30.269
24-02-2020 18:00,23.276
24-02-2020 18:05,26.892
24-02-2020 18:10,23.437
24-02-2020 18:15,27.551
24-02-2020 18:20,24.368
24-02-2020 18:25,23.377
24-02-2020 18:30,18.544
24-02-2020 18:35,28.723
24-02-2020 18:40,25.093
24-02-2020 18:45,26.163
24-02-2020 18:50,25.187
24-02-2020 18:55,22.959
24-02-2020 19:00,22.425
24-02-2020 08:35,34.483
24-02-2020 08:40,31.991
24-02-2020 08:45,36.536
24-02-2020 08:50,39.941
24-02-2020 08:55,44.481
24-02-2020 09:00,31.653
24-02-2020 09:05,35.433
24-02-2020 09:10,39.359
24-02-2020 09:15,34.395
24-02-2020 09:20,32.413
24-02-2020 09:25,38.462
24-02-2020 09:30,30.928
24-02-2020 09:35,34.794
24-02-2020 09:40,41.475
24-02-2020 09:45,28.541
24-02-2020 09:50,30.682
24-02-2020 09:55,32.105
24-02-2020 10:00,39.074
24-02-2020 10:05,28.785
24-02-2020 10:10,40.971
24-02-2020 10:15,23.831
