datetime,Car_volume
24-02-2020 08:35,295
24-02-2020 08:40,285
24-02-2020 08:45,263
24-02-2020 08:50,339
24-02-2020 08:55,265
24-02-2020 09:00,277
24-02-2020 09:05,317
24-02-2020 09:10,307
24-02-2020 09:15,314
24-02-2020 09:20,303
24-02-2020 09:25,318
24-02-2020 09:30,344
24-02-2020 09:35,298
24-02-2020 09:40,306
24-02-2020 09:45,303
24-02-2020 09:50,308
24-02-2020 09:55,288
24-02-2020 10:00,316
24-02-2020 10:05,281
24-02-2020 10:10,288
24-02-2020 10:15,270
24-02-2020 10:20,376
24-02-2020 10:25,295
24-02-2020 10:30,298
24-02-2020 10:35,282
24-02-2020 10:40,318
24-02-2020 10:45,278
24-02-2020 10:50,276
24-02-2020 10:55,280
24-02-2020 11:00,294
24-02-2020 16:35,292
24-02-2020 16:40,277
24-02-2020 16:45,278
24-02-2020 16:50,273
24-02-2020 16:55,310
24-02-2020 17:00,312
24-02-2020 17:05,264
24-02-2020 17:10,256
24-02-2020 17:15,286
24-02-2020 17:20,308
24-02-2020 17:25,306
24-02-2020 17:30,286
24-02-2020 17:35,278
24-02-2020 17:40,316
24-02-2020 17:45,258
24-02-2020 17:50,296
24-02-2020 17:55,277
24-02-2020 18:00,305
24-02-2020 18:05,314
24-02-2020 18:10,314
24-02-2020 18:15,302
24-02-2020 18:20,279
24-02-2020 18:25,316
24-02-2020 18:30,314
24-02-2020 18:35,339
24-02-2020 18:40,306
24-02-2020 18:45,269
24-02-2020 18:50,255
24-02-2020 18:55,297
24-02-2020 19:00,284
24-02-2020 08:35,180
24-02-2020 08:40,169
24-02-2020 08:45,176
24-02-2020 08:50,174
24-02-2020 08:55,161
24-02-2020 09:00,165
24-02-2020 09:05,190
24-02-2020 09:10,193
24-02-2020 09:15,193
24-02-2020 09:20,204
24-02-2020 09:25,211
24-02-2020 09:30,224
24-02-2020 09:35,240
24-02-2020 09:40,218
24-02-2020 09:45,202
24-02-2020 09:50,226
24-02-2020 09:55,244
24-02-2020 10:00,233
24-02-2020 10:05,217
24-02-2020 10:10,188
24-02-2020 10:15,216
24-02-2020 10:20,240
24-02-2020 10:25,216
24-02-2020 10:30,192
24-02-2020 10:35,196
24-02-2020 10:40,239
24-02-2020 10:45,219
24-02-2020 10:50,225
24-02-2020 10:55,234
24-02-2020 11:00,210
24-02-2020 16:35,201
24-02-2020 16:40,216
24-02-2020 16:45,222
24-02-2020 16:50,202
24-02-2020 16:55,232
24-02-2020 17:00,298
24-02-2020 17:05,301
24-02-2020 17:10,279
24-02-2020 17:15,277
24-02-2020 17:20,261
24-02-2020 17:25,251
24-02-2020 17:30,266
24-02-2020 17:35,306
24-02-2020 17:40,276
24-02-2020 17:45,310
24-02-2020 17:50,274
24-02-2020 17:55,289
24-02-2020 18:00,257
24-02-2020 18:05,283
24-02-2020 18:10,294
24-02-2020 18:15,390
24-02-2020 18:20,349
24-02-2020 18:25,356
24-02-2020 18:30,341
24-02-2020 18:35,346
24-02-2020 18:40,304
24-02-2020 18:45,283
24-02-2020 18:50,276
24-02-2020 18:55,292
24-02-2020 19:00,305
25-02-2020 08:35,237
25-02-2020 08:40,278
25-02-2020 08:45,303
25-02-2020 08:50,321
25-02-2020 08:55,249
25-02-2020 09:00,317
25-02-2020 09:05,288
25-02-2020 09:10,300
25-02-2020 09:15,306
25-02-2020 09:20,287
25-02-2020 09:25,271
25-02-2020 09:30,366
25-02-2020 09:35,342
25-02-2020 09:40,343
25-02-2020 09:45,252
25-02-2020 09:50,240
25-02-2020 09:55,285
25-02-2020 10:00,303
25-02-2020 10:05,265
25-02-2020 10:10,261
25-02-2020 10:15,268
25-02-2020 10:20,292
25-02-2020 10:25,280
25-02-2020 10:30,253
25-02-2020 10:35,266
25-02-2020 10:40,282
25-02-2020 10:45,294
25-02-2020 10:50,248
25-02-2020 10:55,261
25-02-2020 11:00,231
25-02-2020 16:35,296
25-02-2020 16:40,326
25-02-2020 16:45,316
25-02-2020 16:50,332
25-02-2020 16:55,321
25-02-2020 17:00,294
25-02-2020 17:05,291
25-02-2020 17:10,290
25-02-2020 17:15,309
25-02-2020 17:20,318
25-02-2020 17:25,323
25-02-2020 17:30,320
25-02-2020 17:35,280
25-02-2020 17:40,304
25-02-2020 17:45,331
25-02-2020 17:50,326
25-02-2020 17:55,334
25-02-2020 18:00,290
25-02-2020 18:05,295
25-02-2020 18:10,399
25-02-2020 18:15,325
25-02-2020 18:20,320
25-02-2020 18:25,334
25-02-2020 18:30,357
25-02-2020 18:35,293
25-02-2020 18:40,295
25-02-2020 18:45,311
25-02-2020 18:50,295
25-02-2020 18:55,302
25-02-2020 19:00,295
25-02-2020 08:35,195
25-02-2020 08:40,151
25-02-2020 08:45,154
25-02-2020 08:50,179
25-02-2020 08:55,197
25-02-2020 09:00,211
25-02-2020 09:05,216
25-02-2020 09:10,217
25-02-2020 09:15,178
25-02-2020 09:20,212
25-02-2020 09:25,202
25-02-2020 09:30,212
25-02-2020 09:35,183
25-02-2020 09:40,190
25-02-2020 09:45,210
25-02-2020 09:50,241
25-02-2020 09:55,226
25-02-2020 10:00,229
25-02-2020 10:05,239
25-02-2020 10:10,243
25-02-2020 10:15,228
25-02-2020 10:20,221
25-02-2020 10:25,212
25-02-2020 10:30,193
25-02-2020 10:35,221
25-02-2020 10:40,191
25-02-2020 10:45,233
25-02-2020 10:50,175
25-02-2020 10:55,202
25-02-2020 11:00,196
25-02-2020 16:35,220
25-02-2020 16:40,222
25-02-2020 16:45,189
25-02-2020 16:50,228
25-02-2020 16:55,234
25-02-2020 17:00,253
25-02-2020 17:05,197
25-02-2020 17:10,240
25-02-2020 17:15,267
25-02-2020 17:20,241
25-02-2020 17:25,271
25-02-2020 17:30,292
