datetime,Cyc_speed
24-02-2020 08:35,9.03
24-02-2020 08:40,15.06
24-02-2020 08:45,13.87
24-02-2020 08:50,9.12
24-02-2020 08:55,14.29
24-02-2020 09:00,12.98
24-02-2020 09:05,16.07
24-02-2020 09:10,14.52
24-02-2020 09:15,12.09
24-02-2020 09:20,16.46
24-02-2020 09:25,8.68
24-02-2020 09:30,10.63
24-02-2020 09:35,13.46
24-02-2020 09:40,7.96
24-02-2020 09:45,9.48
24-02-2020 09:50,9.88
24-02-2020 09:55,14.71
24-02-2020 10:00,14.71
24-02-2020 10:05,10.98
24-02-2020 10:10,12.13
24-02-2020 10:15,11.49
24-02-2020 10:20,12.78
24-02-2020 10:25,13.57
24-02-2020 10:30,9.57
24-02-2020 10:35,12.62
24-02-2020 10:40,9.44
24-02-2020 10:45,7.85
24-02-2020 10:50,7.85
24-02-2020 10:55,6.31
24-02-2020 11:00,15.88
24-02-2020 16:35,12.5
24-02-2020 16:40,12.5
24-02-2020 16:45,12.5
24-02-2020 16:50,12.5
24-02-2020 16:55,12.5
24-02-2020 17:00,12.5
24-02-2020 17:05,12.939
24-02-2020 17:10,12.939
24-02-2020 17:15,11.111
24-02-2020 17:20,11.538
24-02-2020 17:25,9.122
24-02-2020 17:30,12.857
24-02-2020 17:35,12.981
24-02-2020 17:40,12.981
24-02-2020 17:45,12.981
24-02-2020 17:50,14.674
24-02-2020 17:55,13.043
24-02-2020 18:00,13.043
24-02-2020 18:05,14.516
24-02-2020 18:10,20.149
24-02-2020 18:15,16.2
24-02-2020 18:20,17.089
24-02-2020 18:25,12.5
24-02-2020 18:30,12.5
24-02-2020 18:35,15.517
24-02-2020 18:40,19.853
24-02-2020 18:45,16.071
24-02-2020 18:50,15.698
24-02-2020 18:55,19.853
24-02-2020 19:00,11.842
24-02-2020 08:35,13.579
24-02-2020 08:40,13.248
24-02-2020 08:45,15.836
24-02-2020 08:50,13.556
24-02-2020 08:55,17.197
24-02-2020 09:00,17.763
24-02-2020 09:05,15.237
24-02-2020 09:10,12.04
24-02-2020 09:15,16.135
24-02-2020 09:20,13.317
24-02-2020 09:25,15.906
24-02-2020 09:30,13.678
24-02-2020 09:35,14.784
24-02-2020 09:40,16.187
24-02-2020 09:45,15.78
24-02-2020 09:50,11.655
24-02-2020 09:55,13.466
24-02-2020 10:00,15.147
24-02-2020 10:05,11.825
24-02-2020 10:10,13.929
24-02-2020 10:15,20.611
24-02-2020 10:20,20.93
24-02-2020 10:25,15.169
24-02-2020 10:30,13.636
24-02-2020 10:35,16.413
24-02-2020 10:40,13.091
24-02-2020 10:45,14.876
