datetime,Car_volume,2W_volume,3W_volume,Bus_volume,LCV_volume,Truck_volume,Cyc_volume,Car_speed,2W_speed,3W_speed,Bus_speed,LCV_speed,Truck_speed,Cyc_speed
24-02-2020 08:35,295,185,115,16,4,1,4,27.63,33.16,31.09,18.44,28.32,14.21,9.03
24-02-2020 08:40,285,170,109,13,4,2,5,28.42,28.03,28.81,20.53,23.28,24.55,15.06
24-02-2020 08:45,263,159,98,20,5,1,4,30.19,31.83,29.56,20.1,17.53,23.48,13.87
24-02-2020 08:50,339,195,143,19,3,1,5,20.98,29.03,24.05,15.72,18.75,16.07,9.12
24-02-2020 08:55,265,207,131,14,3,2,4,31.4,41.97,32.27,19.71,22.31,22.78,14.29
24-02-2020 09:05,317,243,136,22,9,1,4,22.73,30.54,23.4,19.64,21.69,19.85,16.07
24-02-2020 09:10,307,214,120,14,1,0,5,33.58,35.53,31.25,17.36,21.43,19.85,14.52
24-02-2020 09:15,314,226,121,15,1,3,5,27.89,30.27,25.86,19.97,21.77,27.27,12.09
24-02-2020 09:20,303,258,114,18,4,0,1,27.55,32.93,34.09,19.79,23.28,12.5,16.46
24-02-2020 09:25,318,254,120,21,2,2,4,26.79,29.87,30.34,20.45,20.56,20.15,8.68
24-02-2020 09:35,298,244,136,14,5,6,4,27.02,31.4,28.52,18.05,25.23,18.49,13.46
24-02-2020 09:40,306,224,116,9,1,2,4,26.16,32.3,27.66,16.92,25.47,10.59,7.96
24-02-2020 09:45,303,240,117,19,5,2,6,24.73,29.74,31.84,20.64,18.49,21.2,9.48
24-02-2020 09:50,308,256,114,20,5,1,5,27.66,35.53,28.6,18.85,25.16,22.69,9.88
24-02-2020 09:55,288,280,134,19,5,0,4,25.57,30.82,28.36,19.4,24.46,22.69,14.71
24-02-2020 10:05,281,230,138,23,2,1,6,32.3,29.22,30,19.34,22.88,22.5,10.98
24-02-2020 10:10,288,204,142,18,2,1,5,30.96,29.87,29.87,19.62,19.01,22.88,12.13
24-02-2020 10:15,270,206,108,18,4,3,4,25.19,30.54,31.25,18.6,23.28,22.88,11.49
24-02-2020 10:20,376,248,170,12,3,1,5,21.84,25.19,24.02,18.95,20.15,17.16,12.78
24-02-2020 10:25,295,238,142,22,6,2,4,26.79,29.09,27.33,18,22.59,16.07,13.57
24-02-2020 10:35,282,218,110,16,2,2,3,26.89,34.09,30.13,19.97,22.45,20.56,12.62
24-02-2020 10:40,318,221,112,21,4,1,4,25.96,20.64,23.28,17.31,21.86,12.62,9.44
24-02-2020 10:45,278,196,122,17,4,3,3,23.04,29.48,21.29,17.98,18.58,17.69,7.85
24-02-2020 10:50,276,182,116,19,1,2,3,25.86,33.58,31.58,17.05,28.13,15.17,7.85
24-02-2020 10:55,280,190,128,30,4,4,4,22.06,30.27,19.85,13.55,22.13,15.13,6.31
24-02-2020 16:35,292,138,90,21,11,6,4,18.908,29.284,19.853,15,19.014,15.661,12.5
24-02-2020 16:40,277,154,98,17,10,2,0,22.67,22.881,20.833,17.035,16.413,22.881,12.5
24-02-2020 16:45,278,140,98,18,12,2,0,23.852,25,26.786,16.119,22.5,20.611,12.5
24-02-2020 16:50,273,126,88,26,9,1,1,22.727,29.348,23.276,19.452,17.532,14.362,12.5
24-02-2020 16:55,310,146,104,12,18,9,1,27.108,27.893,26.866,16.615,23.276,18.145,12.5
24-02-2020 17:05,264,147,83,18,13,0,4,27.551,29.476,27.218,17.089,25.281,19.014,12.939
24-02-2020 17:10,256,168,86,23,12,2,5,27.439,25.093,26.892,18.646,23.684,22.5,12.939
24-02-2020 17:15,286,133,69,16,12,3,5,26.163,34.439,26.786,17.763,21.892,21.176,11.111
24-02-2020 17:20,308,136,80,15,9,2,2,23.684,25.862,18.392,17.143,20.149,17.881,11.538
24-02-2020 17:25,306,161,101,13,7,4,3,25.665,28.602,24.725,15.446,21.012,17.763,9.122
24-02-2020 17:35,278,154,72,17,6,6,5,25.472,24.816,24.107,18.802,22.689,21.845,12.981
24-02-2020 17:40,316,170,88,20,4,2,2,21.635,30.682,22.131,18.409,22.5,20,12.981
24-02-2020 17:45,258,152,70,13,5,5,2,22.351,33.92,23.356,19.286,23.276,17.798,12.981
24-02-2020 17:50,296,167,67,23,7,4,1,30.682,32.452,32.609,18.06,26.299,22.881,14.674
24-02-2020 17:55,277,147,80,10,4,7,2,30.269,26.786,29.221,20.706,19.194,20.963,13.043
24-02-2020 18:05,314,171,90,21,6,5,3,26.892,26.575,25.281,17.578,22.314,17.419,14.516
24-02-2020 18:10,314,168,76,17,1,1,6,23.437,34.794,28.008,18.75,17.532,30.682,20.149
24-02-2020 18:15,302,156,85,19,4,3,2,27.551,30.963,24.324,15.101,30.682,25.472,16.2
24-02-2020 18:20,279,193,82,26,6,2,4,24.368,33.416,25.962,19.756,16.805,15.341,17.089
24-02-2020 18:25,316,185,78,22,2,3,5,23.377,28.602,22.575,17.308,24.107,21.429,12.5
24-02-2020 18:35,339,188,71,5,3,0,2,28.723,31.84,29.867,16.304,14.835,23.077,15.517
24-02-2020 18:40,306,156,82,12,9,2,1,25.093,31.106,28.481,17.487,25.116,19.66,19.853
24-02-2020 18:45,269,154,76,11,3,3,0,26.163,32.143,28.008,16.008,20,25.472,16.071
24-02-2020 18:50,255,181,82,9,13,3,2,25.187,30.337,32.452,20.769,29.348,20.558,15.698
24-02-2020 18:55,297,191,71,16,3,2,1,22.959,33.416,26.163,18.392,17.397,21.862,19.853
24-02-2020 08:35,180,83,62,21,7,2,3,34.483,51.136,30.033,13.713,30.578,25.653,13.579
24-02-2020 08:40,169,70,60,22,3,1,6,31.991,44.925,31.877,13.875,28.774,12.888,13.248
24-02-2020 08:45,176,100,84,20,6,1,2,36.536,45.685,24.545,16.024,24.412,12.827,15.836
24-02-2020 08:50,174,89,80,23,5,1,3,39.941,42.789,32.688,14.501,27.136,32.927,13.556
24-02-2020 08:55,161,94,81,11,6,1,3,44.481,43.062,34.483,13.554,32.53,26.087,17.197
24-02-2020 09:05,190,106,83,14,8,2,5,35.433,42.654,38.571,20.331,24.954,25.532,15.237
24-02-2020 09:10,193,122,82,19,6,2,2,39.359,33.499,28.451,15.177,25.116,22.314,12.04
24-02-2020 09:15,193,121,75,20,3,1,3,34.395,37.604,26.29,16.187,28.571,21.687,16.135
24-02-2020 09:20,204,133,74,22,3,3,2,32.413,39.706,29.476,12.956,22.5,23.077,13.317
24-02-2020 09:25,211,143,99,11,3,2,2,38.462,46.957,24.064,12.808,25.714,20.532,15.906
24-02-2020 09:35,240,142,87,16,2,4,4,34.794,39.244,30.405,14.868,26.214,21.6,14.784
24-02-2020 09:40,218,166,96,20,8,4,5,41.475,45.84,33.21,18.724,26.759,26.799,16.187
24-02-2020 09:45,202,153,96,19,4,1,3,28.541,44.19,30.303,15.033,25.653,20.849,15.78
24-02-2020 09:50,226,166,121,16,3,2,3,30.682,42.188,26.341,13.629,22.314,21.176,11.655
24-02-2020 09:55,244,210,109,14,1,4,1,32.105,31.765,26.112,15.05,20.769,21.26,13.466
24-02-2020 10:05,217,194,101,17,4,3,3,28.785,32.181,32.727,13.776,18.865,20.377,11.825
24-02-2020 10:10,188,143,108,8,3,0,3,40.971,43.548,37.293,14.188,27.787,20.377,13.929
24-02-2020 10:15,216,189,101,26,0,1,1,23.831,33.088,22.333,15.341,27.835,15.698,20.611
24-02-2020 10:20,240,195,112,14,3,1,1,31.877,32.413,30.033,11.754,31.034,20.769,20.93
24-02-2020 10:25,216,178,93,16,2,4,3,38.737,39.823,29.508,20.817,32.727,28.125,15.169
24-02-2020 10:35,196,184,105,18,1,3,2,30.067,47.703,31.432,15.22,34.395,23.581,16.413
24-02-2020 10:40,239,186,95,19,2,3,4,32.413,35.433,25.568,12.048,17.561,20.637,13.091
24-02-2020 10:45,219,165,105,16,5,3,1,34.177,36.145,30.578,15.652,26.062,21.066,14.876
24-02-2020 10:50,225,172,100,11,5,7,2,31.991,30.44,29.801,12.57,3.899,22.785,10.537
24-02-2020 10:55,234,175,104,13,7,6,4,30.1,36.936,24.194,14.196,27.495,19.897,12.639
24-02-2020 16:35,201,156,73,10,21,1,1,39.589,43.831,30.822,16.494,37.344,29.032,11.227
24-02-2020 16:40,216,164,70,11,20,3,1,32.374,37.975,32.297,12.262,26.037,17.647,11.227
24-02-2020 16:45,222,201,81,14,22,4,1,28.877,31.616,28.272,13.889,26.654,24.027,12.442
24-02-2020 16:50,202,169,75,15,22,2,2,28.754,31.802,30.717,13.547,30.963,24.379,16.796
24-02-2020 16:55,232,156,76,23,23,2,2,27.273,30.999,27.328,13.52,25.234,25.532,14.026
24-02-2020 17:05,301,180,71,18,17,2,5,25.472,32.143,23.336,14.107,26.419,23.736,14.795
24-02-2020 17:10,279,168,103,17,13,5,4,28.693,29.284,23.936,15.411,27.218,21.809,13.981
24-02-2020 17:15,277,223,74,21,17,4,1,25.962,30.578,24.816,8.973,25.937,23.478,20.849
24-02-2020 17:20,261,188,74,20,11,4,5,27.692,35.202,29.67,16.907,30.474,23.028,9.854
24-02-2020 17:25,251,182,81,10,21,5,4,27.721,36.048,19.679,13.38,24.107,22.959,12.047
24-02-2020 17:35,306,222,107,16,2,6,5,18.544,30.168,22.67,11.889,16.928,18.256,17.51
24-02-2020 17:40,276,172,82,16,9,2,3,26.946,32.413,21.774,11.973,27.636,16.024,10.946
24-02-2020 17:45,310,203,83,13,7,5,3,24.434,29.54,23.726,14.362,22.651,17.024,11.266
24-02-2020 17:50,274,226,71,21,4,6,4,25.14,32.413,23.296,12.334,19.481,18.355,16.083
24-02-2020 17:55,289,199,80,10,8,2,3,24.021,28.571,26.601,13.86,21.48,22.314,15.713
24-02-2020 18:05,283,206,76,18,7,4,5,27.749,32.413,24.954,13.113,25.448,18.766,13.961
24-02-2020 18:10,294,214,88,17,3,0,4,27.495,29.933,26.68,12.766,25,18.766,13.882
24-02-2020 18:15,390,229,101,23,7,4,2,18.493,21.987,20.706,11.709,20.255,19.031,15.675
24-02-2020 18:20,349,234,94,22,4,7,7,20.826,27.567,24.135,12.104,22.208,18.225,13.379
24-02-2020 18:25,356,246,108,18,5,7,7,20.715,27.16,22.835,12.634,22.539,18.531,13.049
24-02-2020 18:35,346,242,96,8,5,7,7,21.267,27.583,23.899,13.913,22.519,18.712,12.856
24-02-2020 18:40,304,257,81,9,7,7,7,23.526,26.757,24.761,13.715,23.05,18.662,12.758
