datetime,ave_speed
24-02-2020 08:35,23.13
24-02-2020 08:40,24.10
24-02-2020 08:45,23.79
24-02-2020 08:50,19.10
24-02-2020 08:55,26.39
24-02-2020 09:00,24.58
24-02-2020 09:05,21.99
24-02-2020 09:10,24.79
24-02-2020 09:15,23.59
24-02-2020 09:20,23.80
24-02-2020 09:25,22.40
24-02-2020 09:30,19.07
24-02-2020 09:35,23.17
24-02-2020 09:40,21.01
24-02-2020 09:45,22.30
24-02-2020 09:50,24.05
24-02-2020 09:55,23.72
24-02-2020 10:00,22.57
24-02-2020 10:05,23.89
24-02-2020 10:10,23.48
24-02-2020 10:15,23.32
24-02-2020 10:20,20.01
24-02-2020 10:25,21.92
24-02-2020 10:30,22.38
24-02-2020 10:35,23.82
24-02-2020 10:40,18.73
24-02-2020 10:45,19.41
24-02-2020 10:50,22.74
24-02-2020 10:55,18.47
24-02-2020 11:00,23.13
24-02-2020 16:35,18.603
24-02-2020 16:40,19.316
24-02-2020 16:45,21.052
24-02-2020 16:50,19.885
24-02-2020 16:55,21.772
24-02-2020 17:00,20.736
24-02-2020 17:05,22.653
24-02-2020 17:10,22.456
24-02-2020 17:15,22.761
24-02-2020 17:20,19.236
24-02-2020 17:25,20.334
24-02-2020 17:30,23.472
24-02-2020 17:35,21.530
24-02-2020 17:40,21.191
24-02-2020 17:45,21.853
24-02-2020 17:50,25.380
24-02-2020 17:55,22.883
24-02-2020 18:00,20.133
24-02-2020 18:05,21.511
24-02-2020 18:10,24.765
24-02-2020 18:15,24.328
24-02-2020 18:20,21.819
24-02-2020 18:25,21.414
24-02-2020 18:30,19.678
24-02-2020 18:35,22.881
24-02-2020 18:40,23.828
24-02-2020 18:45,23.409
24-02-2020 18:50,24.907
24-02-2020 18:55,22.863
24-02-2020 19:00,23.328
24-02-2020 08:35,28.454
24-02-2020 08:40,25.368
24-02-2020 08:45,25.124
24-02-2020 08:50,29.077
24-02-2020 08:55,30.199
24-02-2020 09:00,26.723
24-02-2020 09:05,28.959
24-02-2020 09:10,25.137
24-02-2020 09:15,25.839
24-02-2020 09:20,24.778
24-02-2020 09:25,26.349
24-02-2020 09:30,24.619
24-02-2020 09:35,25.987
24-02-2020 09:40,29.856
24-02-2020 09:45,25.764
24-02-2020 09:50,23.998
24-02-2020 09:55,22.932
24-02-2020 10:00,28.759
24-02-2020 10:05,22.648
24-02-2020 10:10,28.299
24-02-2020 10:15,22.677
24-02-2020 10:20,25.545
24-02-2020 10:25,29.272
24-02-2020 10:30,24.401
24-02-2020 10:35,28.402
24-02-2020 10:40,22.393
24-02-2020 10:45,25.508
24-02-2020 10:50,20.289
24-02-2020 10:55,23.637
24-02-2020 11:00,23.405
24-02-2020 16:35,29.763
24-02-2020 16:40,24.260
24-02-2020 16:45,23.682
24-02-2020 16:50,25.280
24-02-2020 16:55,23.416
24-02-2020 17:00,21.773
24-02-2020 17:05,22.858
24-02-2020 17:10,22.905
24-02-2020 17:15,22.942
24-02-2020 17:20,24.690
24-02-2020 17:25,22.277
